# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000010,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.000020,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.001125,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
0.001535,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001945,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.002765,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.003585,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.004406,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012608,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.014248,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015889,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.016996,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.018103,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000
0.019210,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
0.021424,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000
0.023638,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.025851,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.047991,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.048434,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.048877,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.049319,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.049762,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.050205,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.051090,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.051976,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000
0.052862,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.061717,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.070573,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.079429,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000
0.088285,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000
0.105996,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000
0.123708,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.141419,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.159131,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.175910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.187736,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.199562,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
0.211388,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.227815,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
0.244243,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.260670,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
0.307638,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
0.307947,-0.000678,0.000035,0.000053,-2.187151,0.113855,0.170027
0.308257,-0.001356,0.000070,0.000105,-2.188857,0.113671,0.170054
0.320113,-0.027654,0.001364,0.002108,-2.247454,0.104558,0.167717
0.331969,-0.054559,0.002524,0.004048,-2.291257,0.091204,0.159620
0.343825,-0.081885,0.003503,0.005869,-2.318322,0.073887,0.147424
0.355681,-0.109420,0.004256,0.007534,-2.326725,0.053198,0.133244
0.367537,-0.136932,0.004749,0.009032,-2.314382,0.030087,0.119433
0.379393,-0.164163,0.004963,0.010384,-2.279253,0.005873,0.108343
0.386415,-0.180054,0.004954,0.011129,-2.246877,-0.008393,0.103939
0.393437,-0.195686,0.004847,0.011851,-2.205466,-0.022085,0.101574
0.400459,-0.210994,0.004648,0.012564,-2.154685,-0.034793,0.101472
0.410040,-0.231232,0.004243,0.013554,-2.069784,-0.049802,0.105107
0.419622,-0.250568,0.003711,0.014599,-1.966258,-0.061318,0.112948
0.429203,-0.268820,0.003089,0.015736,-1.843633,-0.068593,0.124352
0.445093,-0.296248,0.001967,0.017888,-1.597185,-0.070205,0.148334
0.460982,-0.319316,0.000924,0.020431,-1.297610,-0.058851,0.172089
0.476872,-0.337216,0.000140,0.023302,-0.946750,-0.037776,0.188618
0.492761,-0.349160,-0.000272,0.026348,-0.548785,-0.012898,0.193022
0.503743,-0.353559,-0.000368,0.028455,-0.249085,-0.005628,0.189758
0.514724,-0.354577,-0.000344,0.030504,0.066435,0.011508,0.182672
0.525705,-0.352064,0.000012,0.032422,0.392988,0.057081,0.165714
0.536687,-0.345915,0.000821,0.034094,0.728401,0.088447,0.136892
0.540563,-0.342860,0.001176,0.034604,0.848061,0.095364,0.125639
0.544440,-0.339339,0.001554,0.035069,0.968032,0.099938,0.114331
0.548317,-0.335354,0.001946,0.035491,1.088088,0.102200,0.103372
0.560470,-0.319854,0.003169,0.036565,1.462473,0.094930,0.074411
0.572623,-0.299853,0.004186,0.037365,1.827586,0.068986,0.059276
0.584776,-0.275512,0.004810,0.038079,2.175264,0.031027,0.060749
0.596929,-0.247096,0.004941,0.038901,2.496876,-0.010546,0.076968
0.610222,-0.211788,0.004535,0.040096,2.808435,-0.050439,0.104736
0.623515,-0.172679,0.003682,0.041678,3.066880,-0.076271,0.133757
0.636808,-0.130548,0.002602,0.043608,3.261297,-0.083509,0.155792
0.650101,-0.086314,0.001546,0.045761,3.381727,-0.072245,0.166549
0.666029,-0.032012,0.000613,0.048425,3.416881,-0.040725,0.165621
0.681958,0.021835,0.000257,0.051004,3.322873,-0.001077,0.156988
0.697886,0.073120,0.000504,0.053445,3.094064,0.033384,0.149992
0.713815,0.119691,0.001194,0.055822,2.731121,0.052484,0.150036
0.734706,0.170162,0.002320,0.059012,2.065292,0.049479,0.158493
0.755598,0.204766,0.003179,0.062393,1.220142,0.026263,0.163643
0.776490,0.220338,0.003570,0.065799,0.255277,0.006659,0.156318
