# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
0,0,0,0,0,90.012,0,2944,0.327,NaN,67.5,NaN,0,0,0.657,NaN,NaN,NaN
0.01,8.852e-4,0.282,0.282,62.925,87.032,0,2943,0.327,NaN,67.5,NaN,213.993,1.906e-5,0.657,NaN,NaN,NaN
0.016,0.004,0.79,0.79,106.585,81.704,0,2942,0.327,NaN,67.5,NaN,342.389,3.962e-4,0.656,NaN,0.153,NaN
0.025,0.015,1.731,1.731,102.316,72.25,0,2940,0.326,NaN,67.5,NaN,329.629,0.004,0.653,NaN,0.138,NaN
0.035,0.038,2.73,2.73,97.566,63.197,0,2938,0.326,NaN,67.5,NaN,315.452,0.013,0.647,NaN,0.155,NaN
0.045,0.07,3.682,3.682,92.806,55.691,0,2936,0.326,NaN,67.5,NaN,301.274,0.027,0.641,NaN,0.16,NaN
0.048,0.081,3.958,3.958,91.377,53.743,0,2935,0.326,NaN,67.5,NaN,297.021,0.033,0.639,NaN,0.169,NaN
0.052,0.1,4.37,4.37,91.87,50.936,0,2935,0.326,NaN,67.5,NaN,298.388,0.042,0.636,NaN,0.186,NaN
0.059,0.132,4.993,4.993,92.609,47.04,0,2933,0.326,NaN,67.4,NaN,300.439,0.058,0.632,NaN,0.303,NaN
0.069,0.186,5.925,5.925,93.704,41.998,0,2931,0.326,NaN,67.4,NaN,303.477,0.086,0.625,NaN,0.326,NaN
0.079,0.25,6.867,6.867,94.799,37.643,0,2929,0.325,NaN,67.4,NaN,306.515,0.119,0.619,NaN,0.349,NaN
0.089,0.324,7.821,7.821,95.894,33.919,0,2927,0.325,NaN,67.4,NaN,309.552,0.156,0.613,NaN,0.373,NaN
0.099,0.407,8.785,8.785,96.988,30.768,0,2925,0.325,NaN,67.4,NaN,312.59,0.198,0.607,NaN,0.404,NaN
0.111,0.517,9.932,9.932,98.275,27.731,0,2923,0.325,NaN,67.3,NaN,316.16,0.253,0.601,NaN,0.431,NaN
0.121,0.621,10.918,10.918,98.999,25.497,0,2921,0.325,NaN,67.3,NaN,318.104,0.303,0.596,NaN,0.453,NaN
0.13,0.725,11.828,11.828,99.661,23.778,0,2919,0.324,NaN,67.3,NaN,319.884,0.355,0.596,NaN,0.476,NaN
0.139,0.828,12.673,12.673,100.272,22.288,0,2917,0.324,NaN,67.3,NaN,321.527,0.406,0.596,NaN,0.498,NaN
0.147,0.932,13.467,13.467,100.842,21.085,0,2916,0.324,NaN,67.3,NaN,323.061,0.456,0.596,NaN,0.519,NaN
0.154,1.034,14.218,14.218,101.378,19.996,0,2914,0.324,76.6,67.2,1.194,324.504,0.505,0.596,6.393,0.549,1
0.165,1.199,15.351,15.351,102.183,18.392,0,2912,0.324,77,67.2,1.245,326.669,0.582,0.596,5.732,0.571,1.185
0.173,1.324,16.164,16.164,102.756,17.418,0,2910,0.323,77.3,67.2,1.281,328.211,0.639,0.596,5.319,0.604,1.327
0.185,1.524,17.387,17.387,102.722,15.986,0,2908,0.323,77.7,67.2,1.332,327.92,0.727,0.596,4.775,0.651,1.558
0.202,1.836,19.143,19.143,102.673,14.324,0,2904,0.323,78.2,67.1,1.401,327.502,0.857,0.596,4.136,0.727,1.924
0.228,2.361,21.769,21.769,102.066,12.548,0,2899,0.322,78.7,67.1,1.48,325.345,1.066,0.596,3.503,0.826,2.54
0.261,3.143,25.159,25.16,101.267,10.772,0,2892,0.322,79.4,67,1.569,322.54,1.364,0.596,2.905,0.926,3.467
0.294,4.036,28.501,28.502,99.739,9.511,0,2885,0.321,79.9,66.9,1.641,317.697,1.694,0.597,2.488,1.002,4.526
0.323,4.909,31.39,31.39,98.391,7.907,0,2879,0.32,80.5,66.9,1.733,313.449,1.969,0.597,1.999,1.028,5.594
0.334,5.247,32.429,32.43,97.897,7.334,0,2877,0.32,80.8,66.9,1.769,311.907,2.068,0.597,1.824,1.066,6.011
0.35,5.774,33.984,33.985,97.903,6.474,0,2874,0.32,81.2,66.8,1.823,311.77,2.221,0.597,1.578,1.128,6.667
