# Time (s),Vertical velocity (m/s),Total velocity (m/s),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
0,0,0,90,0,2943.655,0.327,NaN,67.547,NaN,0,0,0.657,NaN,NaN,NaN
0.01,0.282,0.282,87.017,0,2942.564,0.327,NaN,67.536,NaN,213.993,1.906e-5,0.657,NaN,NaN,NaN
0.016,0.79,0.79,81.683,0,2941.91,0.327,NaN,67.529,NaN,342.389,3.962e-4,0.656,NaN,0.153,NaN
0.025,1.731,1.731,72.241,0,2940.078,0.326,NaN,67.511,NaN,329.629,0.004,0.653,NaN,0.138,NaN
0.035,2.73,2.73,63.175,0,2938.042,0.326,NaN,67.49,NaN,315.452,0.013,0.647,NaN,0.155,NaN
0.045,3.682,3.682,55.695,0,2936.005,0.326,NaN,67.469,NaN,301.274,0.027,0.641,NaN,0.16,NaN
0.048,3.958,3.958,53.737,0,2935.395,0.326,NaN,67.463,NaN,297.021,0.033,0.639,NaN,0.169,NaN
0.052,4.37,4.37,50.947,0,2934.516,0.326,NaN,67.454,NaN,298.388,0.042,0.636,NaN,0.186,NaN
0.059,4.993,4.993,47.052,0,2933.198,0.326,NaN,67.441,NaN,300.439,0.058,0.632,NaN,0.303,NaN
0.069,5.925,5.925,41.978,0,2931.245,0.326,NaN,67.421,NaN,303.477,0.086,0.625,NaN,0.326,NaN
0.079,6.867,6.867,37.644,0,2929.293,0.325,NaN,67.401,NaN,306.515,0.119,0.619,NaN,0.349,NaN
0.089,7.821,7.821,33.941,0,2927.34,0.325,NaN,67.381,NaN,309.552,0.156,0.613,NaN,0.373,NaN
0.099,8.785,8.785,30.765,0,2925.387,0.325,NaN,67.362,NaN,312.59,0.198,0.607,NaN,0.404,NaN
0.111,9.932,9.932,27.722,0,2923.093,0.325,NaN,67.338,NaN,316.16,0.253,0.601,NaN,0.431,NaN
0.121,10.918,10.918,25.519,0,2921.041,0.325,NaN,67.317,NaN,318.104,0.303,0.596,NaN,0.453,NaN
0.13,11.828,11.828,23.755,0,2919.162,0.324,NaN,67.298,NaN,319.884,0.355,0.596,NaN,0.476,NaN
0.139,12.673,12.673,22.308,0,2917.427,0.324,NaN,67.28,NaN,321.527,0.406,0.596,NaN,0.498,NaN
0.147,13.467,13.467,21.092,0,2915.808,0.324,NaN,67.263,NaN,323.061,0.456,0.596,NaN,0.519,NaN
0.154,14.218,14.218,20.001,0,2914.284,0.324,76.647,67.248,1.194,324.504,0.505,0.596,6.393,0.549,1
0.165,15.351,15.351,18.413,0,2911.999,0.324,77.03,67.224,1.245,326.669,0.582,0.596,5.732,0.571,1.185
0.173,16.164,16.164,17.391,0,2910.371,0.323,77.293,67.208,1.281,328.211,0.639,0.596,5.319,0.604,1.327
0.185,17.387,17.387,16.005,0,2907.887,0.323,77.672,67.182,1.332,327.92,0.727,0.596,4.775,0.651,1.558
0.202,19.143,19.143,14.31,0,2904.316,0.323,78.174,67.145,1.401,327.502,0.857,0.596,4.136,0.727,1.924
0.228,21.769,21.769,12.548,0,2899.005,0.322,78.746,67.09,1.48,325.345,1.066,0.596,3.503,0.826,2.54
0.261,25.159,25.16,10.79,0,2892.103,0.322,79.371,67.018,1.569,322.54,1.364,0.596,2.905,0.926,3.467
0.294,28.501,28.502,9.502,0,2885.384,0.321,79.868,66.948,1.641,317.697,1.694,0.597,2.488,1.002,4.526
0.323,31.39,31.39,7.909,0,2879.493,0.32,80.53,66.886,1.733,313.449,1.969,0.597,1.999,1.028,5.594
0.334,32.429,32.43,7.318,0,2877.354,0.32,80.791,66.863,1.769,311.907,2.068,0.597,1.824,1.066,6.011
0.35,33.984,33.985,6.46,0,2874.206,0.32,81.184,66.83,1.823,311.77,2.221,0.597,1.578,1.128,6.667
0.374,36.317,36.317,5.473,0,2869.484,0.319,81.661,66.78,1.89,311.564,2.477,0.597,1.305,1.204,7.706
0.404,39.316,39.316,4.232,0,2863.41,0.319,82.3,66.715,1.979,311.299,2.826,0.598,0.979,1.284,9.169
0.438,42.619,42.62,2.879,-3.022e-7,2856.715,0.318,83.048,66.644,2.083,311.007,3.243,0.598,0.643,1.384,10.951
0.481,46.781,46.785,1.324,0,2848.261,0.317,83.984,66.553,2.214,310.638,3.841,0.599,0.283,1.423,13.446
0.498,48.457,48.463,0.732,0,2844.85,0.317,84.363,66.517,2.267,310.489,4.108,0.599,0.154,1.491,14.531
0.524,50.963,50.975,0.314,0,2839.762,0.316,84.642,66.462,2.309,309.961,4.538,0.599,0.065,1.638,16.186
0.563,54.699,54.726,1.686,0,2832.13,0.315,83.777,66.379,2.21,309.17,5.274,0.6,0.365,1.782,18.556
0.602,58.473,58.525,2.687,7.504e-7,2824.355,0.315,83.191,66.294,2.146,308.363,6.108,0.6,0.598,1.854,21.183
0.623,60.487,60.558,2.945,8.179e-7,2820.199,0.314,83.048,66.248,2.134,308.217,6.572,0.601,0.66,1.915,22.707
0.641,62.211,62.3,3.084,8.286e-7,2816.629,0.314,82.974,66.209,2.129,308.092,6.978,0.601,0.694,1.968,24.074
0.658,63.767,63.876,3.186,7.105e-7,2813.4,0.313,82.921,66.173,2.127,307.979,7.352,0.601,0.719,2.017,25.352
0.673,65.2,65.328,3.261,7.709e-7,2810.421,0.313,82.883,66.141,2.126,307.874,7.703,0.601,0.738,2.061,26.564
0.687,66.535,66.682,3.272,7.7e-7,2807.641,0.313,82.88,66.11,2.13,307.777,8.03,0.602,0.74,2.101,27.735
0.701,67.809,67.977,3.229,9.123e-7,2804.983,0.312,82.908,66.08,2.137,307.683,8.343,0.602,0.73,2.113,28.891
0.705,68.208,68.383,3.209,9.132e-7,2804.15,0.312,82.921,66.071,2.14,307.654,8.441,0.602,0.725,2.132,29.26
0.711,68.808,68.992,3.168,8.956e-7,2802.895,0.312,82.945,66.057,2.145,307.84,8.587,0.602,0.715,2.158,29.821
0.721,69.707,69.907,3.085,8.899e-7,2801.014,0.312,82.994,66.036,2.154,308.12,8.807,0.602,0.695,2.193,30.68
0.734,70.93,71.151,2.931,7.568e-7,2798.46,0.312,83.085,66.008,2.169,308.499,9.105,0.603,0.658,2.227,31.879
0.747,72.171,72.414,2.729,7.206e-7,2795.872,0.312,83.205,65.979,2.188,308.883,9.406,0.603,0.609,2.26,33.133
0.761,73.458,73.724,2.461,8.172e-7,2793.196,0.311,83.364,65.949,2.212,309.28,9.718,0.603,0.546,2.294,34.477
0.775,74.835,75.125,2.126,8.5e-7,2790.34,0.311,83.565,65.917,2.241,309.704,10.053,0.603,0.467,2.329,35.96
0.791,76.374,76.691,1.708,8.703e-7,2787.161,0.311,83.822,65.881,2.279,310.176,10.434,0.604,0.371,2.352,37.671
0.802,77.396,77.73,1.412,8.08e-7,2785.056,0.31,84.008,65.858,2.305,310.489,10.693,0.604,0.305,2.385,38.837
0.818,78.934,79.292,0.961,7.17e-7,2781.884,0.31,84.297,65.822,2.346,310.489,11.095,0.604,0.205,2.432,40.631
0.842,81.247,81.638,0.262,4.677e-7,2777.126,0.309,84.759,65.768,2.412,310.489,11.735,0.605,0.055,2.561,43.422
0.878,84.73,85.162,0.811,0,2769.989,0.309,84.412,65.687,2.378,310.489,12.802,0.606,0.172,2.656,47.337
0.902,87.035,87.487,1.4,0,2765.281,0.308,84.048,65.633,2.339,310.489,13.568,0.606,0.302,2.719,49.953
0.919,88.692,89.154,1.681,3.683e-7,2761.923,0.308,83.881,65.595,2.322,309.747,14.126,0.607,0.366,2.768,51.921
0.933,90.025,90.495,1.84,0,2759.213,0.307,83.789,65.564,2.315,309.148,14.578,0.607,0.402,2.808,53.557
0.945,91.208,91.683,1.926,0,2756.806,0.307,83.742,65.536,2.312,308.616,14.977,0.607,0.422,2.846,55.048
0.957,92.306,92.786,1.985,0,2754.566,0.307,83.711,65.511,2.311,308.121,15.353,0.608,0.436,2.88,56.46
0.967,93.344,93.828,2.015,0,2752.445,0.307,83.696,65.486,2.313,307.652,15.71,0.608,0.443,2.911,57.823
0.978,94.34,94.828,2.002,0,2750.405,0.307,83.708,65.463,2.317,307.202,16.049,0.608,0.44,2.94,59.163
0.988,95.317,95.809,1.948,0,2748.4,0.306,83.745,65.439,2.325,306.759,16.379,0.608,0.428,2.972,60.509
1,96.466,96.963,1.833,4.099e-7,2746.035,0.306,83.818,65.412,2.338,306.236,16.762,0.609,0.402,2.998,62.134
1.011,97.487,97.988,1.679,4.164e-7,2743.927,0.306,83.916,65.388,2.353,310.754,17.098,0.609,0.366,3.024,63.618
1.022,98.596,99.103,1.475,4.347e-7,2741.675,0.306,84.046,65.361,2.373,315.582,17.463,0.609,0.32,3.031,65.266
1.025,98.894,99.403,1.414,4.376e-7,2741.074,0.305,84.085,65.354,2.379,316.869,17.562,0.609,0.306,3.041,65.716
1.03,99.342,99.854,1.318,4.339e-7,2740.169,0.305,84.146,65.344,2.388,315.763,17.711,0.609,0.285,3.055,66.397
1.036,100.01,100.526,1.166,4.377e-7,2738.812,0.305,84.245,65.328,2.402,314.103,17.934,0.61,0.251,3.076,67.425
1.047,101.003,101.527,0.92,5.665e-7,2736.775,0.305,84.404,65.304,2.426,311.614,18.271,0.61,0.197,3.094,68.979
1.057,102.006,102.538,0.626,4.564e-7,2734.696,0.305,84.598,65.28,2.453,309.072,18.616,0.61,0.133,3.12,70.591
1.073,103.498,104.045,0.151,4.231e-7,2731.619,0.304,84.916,65.244,2.498,308.814,19.149,0.611,0.032,3.207,73.046
1.096,105.721,106.298,0.533,5.193e-7,2727.005,0.304,84.674,65.19,2.475,308.427,20.011,0.611,0.113,3.224,76.358
1.1,106.087,106.67,0.637,5.167e-7,2726.242,0.304,84.608,65.181,2.467,308.363,20.16,0.611,0.135,3.248,76.896
1.106,106.637,107.228,0.769,5.098e-7,2725.081,0.304,84.525,65.168,2.458,309.739,20.387,0.612,0.164,3.282,77.719
1.115,107.465,108.07,0.951,5.459e-7,2723.341,0.303,84.413,65.147,2.447,311.802,20.735,0.612,0.204,3.333,78.977
1.128,108.716,109.344,1.18,0,2720.73,0.303,84.274,65.116,2.433,314.897,21.267,0.612,0.255,3.376,80.921
1.139,109.809,110.457,1.328,0,2718.468,0.303,84.186,65.09,2.425,317.578,21.736,0.613,0.288,3.415,82.665
1.15,110.853,111.523,1.423,0,2716.307,0.303,84.132,65.064,2.422,315.946,22.184,0.613,0.309,3.448,84.375
1.16,111.803,112.492,1.47,0,2714.328,0.302,84.108,65.041,2.422,314.451,22.589,0.613,0.32,3.477,85.967
1.169,112.699,113.408,1.475,0,2712.447,0.302,84.109,65.018,2.425,313.031,22.968,0.614,0.321,3.504,87.504
1.178,113.571,114.299,1.443,-3.172e-7,2710.605,0.302,84.133,64.996,2.43,311.64,23.333,0.614,0.314,3.529,89.032
1.188,114.44,115.188,1.375,-3.306e-7,2708.757,0.302,84.179,64.974,2.439,310.244,23.693,0.614,0.299,3.553,90.59
1.197,115.332,116.099,1.27,-5.566e-7,2706.852,0.302,84.249,64.952,2.451,308.805,24.059,0.614,0.275,3.572,92.22
1.205,116.042,116.825,1.176,-5.632e-7,2705.327,0.301,84.312,64.934,2.461,307.654,24.35,0.615,0.254,3.596,93.535
1.216,117.046,117.85,1.019,-5.607e-7,2703.213,0.301,84.415,64.908,2.477,307.24,24.761,0.615,0.219,3.623,95.42
1.228,118.184,119.01,0.801,0,2700.816,0.301,84.56,64.88,2.499,306.771,25.228,0.615,0.171,3.652,97.6
1.244,119.604,120.456,0.484,0,2697.821,0.301,84.772,64.844,2.531,306.185,25.823,0.616,0.103,3.699,100.38
1.267,121.733,122.619,0.091,-5.014e-7,2693.329,0.3,85.043,64.79,2.572,305.306,26.763,0.617,0.019,3.829,104.588
