# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000050,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000633,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,223.997955,0.999048,-0.043619,-0.000000,-0.000000
0.001216,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,-0.000000,-0.000000
0.002382,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000383,0.004383,-0.000000,0.000000,223.997958,0.999048,-0.043619,-0.000000,-0.000000
0.003548,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.001581,0.018073,0.000000,0.000001,223.997971,0.999048,-0.043619,0.000000,-0.000000
0.004714,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.003640,0.041608,0.000000,0.000004,223.998006,0.999048,-0.043619,0.000000,-0.000000
0.015262,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.061438,0.702242,0.000000,0.000348,224.001929,0.999048,-0.043619,0.000000,0.000000
0.015685,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.065231,0.745592,-0.000000,0.000374,224.002235,0.999048,-0.043619,0.000000,0.000000
0.016108,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.069122,0.790065,-0.000000,0.000403,224.002560,0.999048,-0.043619,0.000000,-0.000000
0.016532,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.073050,0.834968,-0.000000,0.000433,224.002904,0.999048,-0.043619,0.000000,0.000000
0.017379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080870,0.924352,-0.000000,0.000501,224.003687,0.999048,-0.043619,0.000000,-0.000000
0.018225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088661,1.013397,0.000000,0.000577,224.004545,0.999048,-0.043619,0.000000,-0.000000
0.025000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.150042,1.714989,0.000000,0.001385,224.013787,0.999048,-0.043619,0.000000,0.000000
0.031775,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.209525,2.394885,-0.000000,0.002603,224.027709,0.999048,-0.043619,-0.000000,-0.000000
0.038549,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.267107,3.053053,-0.000000,0.004218,224.046162,0.999048,-0.043619,0.000000,0.000000
0.050000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.360593,4.121598,0.000000,0.007818,224.087311,0.999048,-0.043619,0.000000,-0.000000
0.051710,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.374262,4.277838,0.000000,0.008446,224.094493,0.999048,-0.043619,0.000000,-0.000000
0.053420,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.387959,4.434396,-0.000000,0.009098,224.101941,0.999048,-0.043619,0.000000,0.000000
0.055130,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.401684,4.591274,0.000000,0.009773,224.109658,0.999048,-0.043619,-0.000000,0.000000
0.058550,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.429218,4.905988,-0.000000,0.011193,224.125897,0.999048,-0.043619,0.000000,-0.000000
0.061969,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.456864,5.221980,0.000000,0.012709,224.143215,0.999048,-0.043619,-0.000000,0.000000
0.065389,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.484622,5.539249,-0.000000,0.014318,224.161615,0.999048,-0.043619,0.000000,0.000000
0.068809,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.512491,5.857798,0.000000,0.016023,224.181103,0.999048,-0.043619,-0.000000,-0.000000
0.075000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.563226,6.437708,0.000000,0.019353,224.219163,0.999048,-0.043619,-0.000000,-0.000000
0.081191,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.614329,7.021812,-0.000000,0.022998,224.260825,0.999048,-0.043619,-0.000000,0.000000
0.087382,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.665799,7.610113,0.000000,0.026961,224.306117,0.999048,-0.043619,0.000000,-0.000000
0.100000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.771843,8.822211,0.000000,0.036029,224.409769,0.999048,-0.043619,-0.000000,0.000000
0.112618,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.879388,10.051451,0.000000,0.046445,224.528828,0.999048,-0.043619,-0.000000,-0.000000
0.125000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.986150,11.271742,0.000000,0.057993,224.660822,0.999048,-0.043619,0.000000,-0.000000
0.137382,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.093848,12.502741,0.000000,0.070869,224.807994,0.999048,-0.043619,-0.000000,-0.000000
0.149763,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.202519,13.744854,0.000000,0.085085,224.970476,0.999048,-0.043619,-0.000000,-0.000000
0.150000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.204606,13.768714,-0.000000,0.085370,224.973733,0.999048,-0.043619,0.000000,0.000000
0.150237,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1.206694,13.792577,0.000000,0.085655,224.976996,0.999048,-0.043619,0.000000,-0.000000
0.150474,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,1.208782,13.816445,-0.000000,0.085941,224.980264,0.999048,-0.043619,0.000000,0.000000
0.150710,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.210871,13.840317,0.000000,0.086227,224.983538,0.999048,-0.043619,-0.000000,-0.000000
0.153078,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,1.231776,14.079259,-0.000000,0.089119,225.016589,0.999048,-0.043619,0.000000,-0.000000
0.155445,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.252716,14.318607,-0.000000,0.092060,225.050206,0.999048,-0.043619,0.000000,-0.000000
0.157813,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,1.273692,14.558361,-0.000000,0.095051,225.084390,0.999048,-0.043619,0.000000,-0.000000
0.160181,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.294703,14.798523,0.000000,0.098091,225.119142,0.999048,-0.043619,-0.000000,0.000000
0.175000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.426932,16.309903,0.000000,0.118258,225.349647,0.999048,-0.043619,0.000000,-0.000000
0.186723,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,1.531996,17.510790,0.000000,0.135602,225.547895,0.999048,-0.043619,-0.000000,0.000000
0.198447,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1.637029,18.711328,0.000000,0.154178,225.760219,0.999048,-0.043619,-0.000000,-0.000000
0.200000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.650941,18.870345,0.000000,0.156731,225.789403,0.999048,-0.043619,-0.000000,0.000000
0.201553,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.664853,19.029355,-0.000000,0.159306,225.818834,0.999048,-0.043619,0.000000,0.000000
0.203106,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,1.678762,19.188341,0.000000,0.161903,225.848511,0.999048,-0.043619,-0.000000,0.000000
0.206212,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,1.706568,19.506158,0.000000,0.167160,225.908607,0.999048,-0.043619,-0.000000,0.000000
0.209319,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,1.734354,19.823751,0.000000,0.172504,225.969690,0.999048,-0.043619,0.000000,-0.000000
0.212425,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,1.762120,20.141119,0.000000,0.177935,226.031759,0.999048,-0.043619,0.000000,-0.000000
0.225000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.874328,21.423664,-0.000000,0.200799,226.293104,0.999048,-0.043619,0.000000,-0.000000
0.237575,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,1.986209,22.702474,0.000000,0.225073,226.570553,0.999048,-0.043619,-0.000000,0.000000
0.250000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,2.096427,23.962268,0.000000,0.250436,226.860451,0.999048,-0.043619,-0.000000,-0.000000
0.262425,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.206303,25.218161,0.000000,0.277166,227.165977,0.999048,-0.043619,0.000000,0.000000
0.274849,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,2.315692,26.468480,0.000000,0.305258,227.487073,0.999048,-0.043619,-0.000000,-0.000000
0.275000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,2.317014,26.483591,0.000000,0.305607,227.491060,0.999048,-0.043619,-0.000000,0.000000
0.275151,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,2.318336,26.498702,0.000000,0.305956,227.495050,0.999048,-0.043619,0.000000,0.000000
