# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000025,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000050,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.000633,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.001216,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.002382,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000383,0.004382,-0.000000,0.000000,223.997958,0.999048,-0.043619,0.000000,0.000000
0.003548,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.001581,0.018069,0.000000,0.000001,223.997971,0.999048,-0.043619,-0.000000,-0.000000
0.004714,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.003640,0.041603,-0.000000,0.000004,223.998006,0.999048,-0.043619,-0.000000,0.000000
0.015262,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.061436,0.702215,0.000000,0.000348,224.001929,0.999048,-0.043619,0.000000,0.000000
0.015685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065228,0.745564,0.000000,0.000374,224.002235,0.999048,-0.043619,0.000000,0.000000
0.016109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.069119,0.790035,-0.000000,0.000403,224.002560,0.999048,-0.043619,-0.000000,0.000000
0.016532,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073048,0.834937,0.000000,0.000433,224.002904,0.999048,-0.043619,0.000000,0.000000
0.017379,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.080867,0.924318,0.000000,0.000501,224.003687,0.999048,-0.043619,0.000000,-0.000000
0.018225,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.088658,1.013361,0.000000,0.000577,224.004545,0.999048,-0.043619,0.000000,0.000000
0.025000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.150037,1.714928,0.000000,0.001385,224.013786,0.999048,-0.043619,-0.000000,0.000000
0.031775,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.209518,2.394798,0.000000,0.002603,224.027707,0.999048,-0.043619,0.000000,0.000000
0.038549,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.267098,3.052939,-0.000000,0.004217,224.046160,0.999048,-0.043619,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.360581,4.121457,-0.000000,0.007817,224.087308,0.999048,-0.043619,0.000000,0.000000
0.051710,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.374249,4.277689,0.000000,0.008446,224.094489,0.999048,-0.043619,0.000000,0.000000
0.053420,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.387946,4.434240,0.000000,0.009097,224.101937,0.999048,-0.043619,0.000000,0.000000
0.055130,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.401670,4.591110,0.000000,0.009772,224.109654,0.999048,-0.043619,0.000000,0.000000
0.058550,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.429203,4.905809,-0.000000,0.011193,224.125892,0.999048,-0.043619,-0.000000,0.000000
0.061969,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.456847,5.221785,0.000000,0.012708,224.143210,0.999048,-0.043619,0.000000,0.000000
0.065389,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.484603,5.539038,0.000000,0.014318,224.161610,0.999048,-0.043619,0.000000,0.000000
0.075000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.563206,6.437479,0.000000,0.019353,224.219162,0.999048,-0.043619,0.000000,0.000000
0.084611,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.642694,7.346027,0.000000,0.025148,224.285398,0.999048,-0.043619,0.000000,0.000000
0.094222,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723066,8.264687,0.000000,0.031711,224.360414,0.999048,-0.043619,-0.000000,-0.000000
0.100000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.771814,8.821879,0.000000,0.036030,224.409776,0.999048,-0.043619,-0.000000,-0.000000
0.105778,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.820883,9.382732,0.000000,0.040631,224.462370,0.999048,-0.043619,-0.000000,0.000000
0.111557,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.870267,9.947199,-0.000000,0.045517,224.518215,0.999048,-0.043619,0.000000,0.000000
0.117335,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.919920,10.514732,-0.000000,0.050689,224.577331,0.999048,-0.043619,0.000000,0.000000
0.125000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.986104,11.271224,0.000000,0.057994,224.660825,0.999048,-0.043619,0.000000,0.000000
0.132665,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.052659,12.031948,0.000000,0.065807,224.750133,0.999048,-0.043619,0.000000,0.000000
0.140330,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,1.119586,12.796929,-0.000000,0.074132,224.845288,0.999048,-0.043619,-0.000000,0.000000
0.147995,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.186886,13.566169,0.000000,0.082971,224.946324,0.999048,-0.043619,-0.000000,-0.000000
0.150000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.204548,13.768050,0.000000,0.085368,224.973721,0.999048,-0.043619,0.000000,-0.000000
0.152005,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.222236,13.970223,0.000000,0.087801,225.001524,0.999048,-0.043619,-0.000000,-0.000000
0.154009,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.239949,14.172686,-0.000000,0.090269,225.029732,0.999048,-0.043619,0.000000,0.000000
0.156014,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.257688,14.375441,0.000000,0.092772,225.058347,0.999048,-0.043619,-0.000000,0.000000
0.175000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.426852,16.308997,-0.000000,0.118253,225.349595,0.999048,-0.043619,-0.000000,-0.000000
0.193986,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.597151,18.255518,-0.000000,0.146958,225.677697,0.999048,-0.043619,-0.000000,0.000000
0.200000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.651015,18.871188,0.000000,0.156726,225.789337,0.999048,-0.043619,-0.000000,0.000000
0.206014,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.704858,19.486621,-0.000000,0.166817,225.904678,0.999048,-0.043619,-0.000000,-0.000000
0.212028,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,1.758637,20.101312,0.000000,0.177231,226.023718,0.999048,-0.043619,0.000000,-0.000000
0.218042,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,1.812340,20.715136,0.000000,0.187969,226.146452,0.999048,-0.043619,0.000000,0.000000
0.225000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.874381,21.424270,-0.000000,0.200796,226.293059,0.999048,-0.043619,0.000000,0.000000
0.231958,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,1.936322,22.132258,-0.000000,0.214053,226.444596,0.999048,-0.043619,-0.000000,0.000000
0.238916,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,1.998162,22.839095,-0.000000,0.227742,226.601055,0.999048,-0.043619,0.000000,0.000000
0.250000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,2.096458,23.962625,-0.000000,0.250434,226.860426,0.999048,-0.043619,0.000000,0.000000
0.261084,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2.194494,25.083183,-0.000000,0.274214,227.132232,0.999048,-0.043619,0.000000,0.000000
0.272167,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,2.292173,26.199655,0.000000,0.299078,227.416437,0.999048,-0.043619,-0.000000,-0.000000
0.275000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2.317053,26.484032,0.000000,0.305607,227.491055,0.999048,-0.043619,0.000000,-0.000000
0.277833,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2.341901,26.768046,-0.000000,0.312205,227.566477,0.999048,-0.043619,0.000000,-0.000000
0.280665,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,2.366716,27.051692,0.000000,0.318874,227.642704,0.999048,-0.043619,0.000000,0.000000
0.283498,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,2.391500,27.334970,0.000000,0.325613,227.719733,0.999048,-0.043619,-0.000000,0.000000
0.300000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,2.535237,28.977891,0.000000,0.366265,228.184389,0.999048,-0.043619,-0.000000,0.000000
0.316502,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,2.677871,30.608201,-0.000000,0.409280,228.676051,0.999048,-0.043619,0.000000,0.000000
0.325000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,2.750889,31.442806,0.000000,0.432347,228.939708,0.999048,-0.043619,-0.000000,-0.000000
