# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997955,0.999048,-0.043619,0.000000,0.000000
0.001438,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000083,0.000947,0.000000,0.000000,223.997957,0.999048,-0.043619,-0.000000,0.000000
0.001876,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000230,0.002624,0.000000,0.000000,223.997958,0.999048,-0.043619,0.000000,0.000000
0.002314,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000498,0.005691,0.000000,0.000000,223.997960,0.999048,-0.043619,-0.000000,0.000000
0.003190,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.001277,0.014601,-0.000000,0.000001,223.997969,0.999048,-0.043619,0.000000,-0.000000
0.004066,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.002543,0.029067,0.000000,0.000003,223.997988,0.999048,-0.043619,0.000000,-0.000000
0.004941,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.004295,0.049089,-0.000000,0.000006,223.998023,0.999048,-0.043619,0.000000,-0.000000
0.013700,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.048556,0.555003,-0.000000,0.000200,224.000242,0.999048,-0.043619,0.000000,-0.000000
0.015451,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.063246,0.722910,-0.000000,0.000298,224.001361,0.999048,-0.043619,0.000000,-0.000000
0.016770,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.075250,0.860108,-0.000000,0.000389,224.002405,0.999048,-0.043619,0.000000,-0.000000
0.018089,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.087426,0.999282,0.000000,0.000497,224.003632,0.999048,-0.043619,-0.000000,0.000000
0.019408,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.099530,1.137634,-0.000000,0.000620,224.005041,0.999048,-0.043619,0.000000,0.000000
0.022046,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.123523,1.411876,0.000000,0.000914,224.008404,0.999048,-0.043619,-0.000000,-0.000000
0.024685,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.147228,1.682829,0.000000,0.001271,224.012486,0.999048,-0.043619,0.000000,-0.000000
0.027323,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.170646,1.950494,0.000000,0.001691,224.017278,0.999048,-0.043619,0.000000,0.000000
0.032160,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.212836,2.432727,0.000000,0.002618,224.027879,0.999048,-0.043619,-0.000000,0.000000
0.036997,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.254057,2.903883,-0.000000,0.003747,224.040786,0.999048,-0.043619,-0.000000,-0.000000
0.041834,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.294307,3.363949,-0.000000,0.005073,224.055945,0.999048,-0.043619,0.000000,-0.000000
0.051508,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.372617,4.259036,0.000000,0.008303,224.092855,0.999048,-0.043619,-0.000000,0.000000
0.061182,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.450187,5.145666,-0.000000,0.012283,224.138353,0.999048,-0.043619,0.000000,0.000000
0.068536,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.509968,5.828966,0.000000,0.015813,224.178704,0.999048,-0.043619,-0.000000,0.000000
0.075891,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.570250,6.517983,0.000000,0.019785,224.224104,0.999048,-0.043619,0.000000,-0.000000
0.083246,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.631049,7.212922,0.000000,0.024203,224.274593,0.999048,-0.043619,0.000000,0.000000
0.090600,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.692366,7.913782,-0.000000,0.029069,224.330214,0.999048,-0.043619,0.000000,0.000000
0.105309,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.816556,9.333281,-0.000000,0.040164,224.457030,0.999048,-0.043619,0.000000,-0.000000
0.120018,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.942642,10.774448,-0.000000,0.053100,224.604888,0.999048,-0.043619,-0.000000,0.000000
0.134728,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.070223,12.232706,-0.000000,0.067902,224.774075,0.999048,-0.043619,0.000000,-0.000000
0.149437,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,1.199154,13.706390,-0.000000,0.084590,224.964827,0.999048,-0.043619,-0.000000,-0.000000
0.170127,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,1.382832,15.805848,0.000000,0.111301,225.270132,0.999048,-0.043619,-0.000000,-0.000000
0.183249,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.500290,17.148392,-0.000000,0.130217,225.486343,0.999048,-0.043619,-0.000000,0.000000
0.196371,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,1.617833,18.491915,-0.000000,0.150675,225.720177,0.999048,-0.043619,0.000000,0.000000
0.209493,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,1.735247,19.833966,0.000000,0.172674,225.971630,0.999048,-0.043619,0.000000,0.000000
