# Time (s), ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), α1 (rad/s²), α2 (rad/s²), α3 (rad/s²), Vx (m/s), Vy (m/s), Vz (m/s), X (m), Y (m), Z (m), e0, e1, e2, e3
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,223.997970,0.999048,-0.043619,-0.000000,0.000000
0.001438,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000081,0.000927,-0.000000,0.000000,223.997971,0.999048,-0.043619,0.000000,-0.000000
0.001876,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000227,0.002598,-0.000000,0.000000,223.997972,0.999048,-0.043619,0.000000,-0.000000
0.002314,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000495,0.005658,0.000000,0.000000,223.997974,0.999048,-0.043619,0.000000,0.000000
0.003190,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.001273,0.014556,0.000000,0.000001,223.997983,0.999048,-0.043619,-0.000000,-0.000000
0.004066,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.002538,0.029009,0.000000,0.000003,223.998002,0.999048,-0.043619,0.000000,0.000000
0.004942,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.004289,0.049019,0.000000,0.000006,223.998037,0.999048,-0.043619,0.000000,-0.000000
0.013700,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.048539,0.554807,-0.000000,0.000200,224.000255,0.999048,-0.043619,0.000000,0.000000
0.015452,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.063227,0.722689,0.000000,0.000298,224.001374,0.999048,-0.043619,-0.000000,0.000000
0.016771,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.075228,0.859855,0.000000,0.000389,224.002417,0.999048,-0.043619,-0.000000,0.000000
0.018090,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.087401,0.998995,-0.000000,0.000496,224.003643,0.999048,-0.043619,0.000000,-0.000000
0.019408,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.099502,1.137313,0.000000,0.000620,224.005052,0.999048,-0.043619,0.000000,0.000000
0.022046,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.123489,1.411487,-0.000000,0.000914,224.008414,0.999048,-0.043619,0.000000,-0.000000
0.024684,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.147189,1.682373,0.000000,0.001271,224.012494,0.999048,-0.043619,0.000000,0.000000
0.027322,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.170600,1.949970,0.000000,0.001690,224.017285,0.999048,-0.043619,0.000000,0.000000
0.032159,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.212780,2.432087,-0.000000,0.002617,224.027882,0.999048,-0.043619,0.000000,-0.000000
0.036995,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.253991,2.903126,0.000000,0.003746,224.040785,0.999048,-0.043619,-0.000000,-0.000000
0.041832,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.294231,3.363075,-0.000000,0.005072,224.055939,0.999048,-0.043619,-0.000000,-0.000000
0.051506,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.372520,4.257919,0.000000,0.008300,224.092838,0.999048,-0.043619,-0.000000,0.000000
0.061179,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.450067,5.144289,0.000000,0.012279,224.138321,0.999048,-0.043619,0.000000,0.000000
0.068533,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.509827,5.827349,-0.000000,0.015808,224.178656,0.999048,-0.043619,0.000000,0.000000
0.075887,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.570086,6.516117,0.000000,0.019778,224.224038,0.999048,-0.043619,-0.000000,0.000000
0.083240,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.630863,7.210798,0.000000,0.024194,224.274506,0.999048,-0.043619,0.000000,0.000000
0.090594,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.692157,7.911393,0.000000,0.029058,224.330105,0.999048,-0.043619,0.000000,0.000000
0.105302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.816298,9.330329,0.000000,0.040148,224.456867,0.999048,-0.043619,0.000000,-0.000000
0.120009,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.942331,10.770892,0.000000,0.053079,224.604660,0.999048,-0.043619,-0.000000,-0.000000
0.134716,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,1.069855,12.228503,0.000000,0.067874,224.773771,0.999048,-0.043619,0.000000,-0.000000
0.149424,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,1.198725,13.701489,0.000000,0.084555,224.964434,0.999048,-0.043619,0.000000,0.000000
0.151577,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.217703,13.918411,-0.000000,0.087156,224.994166,0.999048,-0.043619,0.000000,0.000000
0.152570,-0.001299,-0.002714,0.000458,-1.307729,-2.731871,0.460780,0.001497,1.226605,14.018644,0.000001,0.088374,225.008093,0.999048,-0.043620,-0.000001,0.000000
0.153564,-0.002604,-0.005440,0.000919,-1.313693,-2.743622,0.463943,0.003000,1.235510,14.118948,0.000004,0.089602,225.022119,0.999048,-0.043621,-0.000004,0.000001
0.155551,-0.005226,-0.010914,0.001847,-1.325665,-2.767173,0.470301,0.006018,1.253326,14.319701,0.000013,0.092074,225.050371,0.999048,-0.043625,-0.000012,0.000003
0.157537,-0.007872,-0.016435,0.002788,-1.337688,-2.790763,0.476690,0.009059,1.271155,14.520740,0.000028,0.094582,225.079022,0.999048,-0.043632,-0.000026,0.000005
0.159524,-0.010542,-0.022004,0.003741,-1.349761,-2.814391,0.483109,0.012121,1.288998,14.722065,0.000049,0.097126,225.108072,0.999047,-0.043641,-0.000044,0.000010
0.179393,-0.038568,-0.080259,0.013984,-1.472049,-3.049852,0.548382,0.043346,1.468130,16.747095,0.000598,0.124513,225.420652,0.999037,-0.043882,-0.000544,0.000118
0.199261,-0.069027,-0.143117,0.025529,-1.593941,-3.275977,0.613838,0.073799,1.648412,18.781993,0.001763,0.155472,225.773592,0.999012,-0.044414,-0.001640,0.000362
0.219130,-0.101864,-0.210280,0.038356,-1.710645,-3.481264,0.676948,0.100626,1.829849,20.811103,0.003502,0.190024,226.166930,0.998969,-0.045260,-0.003377,0.000754
0.238998,-0.136933,-0.281229,0.052400,-1.817859,-3.655441,0.736038,0.120700,2.013631,22.830754,0.005711,0.228202,226.600496,0.998903,-0.046443,-0.005793,0.001310
0.262738,-0.181424,-0.369937,0.070644,-1.927164,-3.808252,0.799709,0.131113,2.238505,25.230505,0.008729,0.278663,227.170997,0.998782,-0.048326,-0.009617,0.002206
0.286477,-0.228183,-0.461379,0.090293,-2.007397,-3.882532,0.854119,0.121088,2.471414,27.610026,0.011762,0.334552,227.798237,0.998600,-0.050749,-0.014501,0.003373
0.306075,-0.267932,-0.537462,0.107405,-2.044529,-3.870530,0.891037,0.093066,2.671348,29.552983,0.013890,0.384935,228.358413,0.998387,-0.053172,-0.019347,0.004553
0.325673,-0.308099,-0.612567,0.125170,-2.049107,-3.781146,0.920624,0.043330,2.880132,31.476650,0.015262,0.439320,228.956477,0.998102,-0.055985,-0.024925,0.005935
0.345271,-0.347989,-0.685087,0.143447,-2.015218,-3.605061,0.943346,-0.031983,3.100007,33.384545,0.015415,0.497902,229.592081,0.997729,-0.059187,-0.031218,0.007524
0.364870,-0.386789,-0.753240,0.162110,-1.936974,-3.334258,0.960325,-0.137200,3.333951,35.285887,0.013805,0.560926,230.264997,0.997252,-0.062772,-0.038190,0.009322
0.384468,-0.423569,-0.815098,0.181056,-1.808117,-2.961384,0.972304,-0.276451,3.584328,37.183794,0.009807,0.628691,230.975137,0.996655,-0.066723,-0.045788,0.011329
0.404066,-0.457278,-0.868601,0.200190,-1.622450,-2.480698,0.979629,-0.453419,3.852851,39.076255,0.002717,0.701539,231.722422,0.995923,-0.071016,-0.053938,0.013543
0.423664,-0.486750,-0.911610,0.219427,-1.374828,-1.889958,0.982789,-0.671521,4.141157,40.961693,-0.008240,0.779841,232.506729,0.995045,-0.075615,-0.062547,0.015960
0.447155,-0.514734,-0.946322,0.242511,-0.991198,-1.039581,0.981808,-0.991340,4.514795,43.209915,-0.027640,0.881445,233.495382,0.993792,-0.081465,-0.073307,0.019116
0.470645,-0.532570,-0.959348,0.265519,-0.510954,-0.046654,0.976427,-1.378593,4.920827,45.442304,-0.055339,0.992204,234.536668,0.992325,-0.087586,-0.084320,0.022541
0.494136,-0.538020,-0.947609,0.288357,0.062164,1.063692,0.967470,-1.835797,5.360449,47.655609,-0.092953,1.112894,235.630175,0.990666,-0.093852,-0.095308,0.026218
0.517627,-0.529021,-0.908775,0.310950,0.716632,2.252527,0.955673,-2.363464,5.833860,49.846172,-0.142137,1.244309,236.775415,0.988858,-0.100117,-0.105961,0.030130
0.541117,-0.503886,-0.841596,0.333237,1.431954,3.467164,0.941560,-2.959706,6.340066,52.010076,-0.204526,1.387232,237.971808,0.986965,-0.106215,-0.115950,0.034255
0.563045,-0.464883,-0.753405,0.353726,2.127766,4.566386,0.926953,-3.574718,6.840645,54.004868,-0.276068,1.531695,239.134184,0.985195,-0.111601,-0.124376,0.038284
0.584973,-0.410626,-0.642048,0.373884,2.817257,5.569227,0.911602,-4.240926,7.365966,55.975391,-0.361669,1.687411,240.340033,0.983503,-0.116541,-0.131666,0.042469
0.606900,-0.341673,-0.510354,0.393703,3.461035,6.409937,0.896039,-4.951401,7.912949,57.923075,-0.462377,1.854890,241.588838,0.981971,-0.120892,-0.137576,0.046799
0.628828,-0.259507,-0.362605,0.413183,4.014528,7.022629,0.880871,-5.697741,8.477959,59.851506,-0.579074,2.034567,242.880131,0.980677,-0.124522,-0.141903,0.051266
0.650756,-0.166626,-0.204483,0.432341,4.430223,7.346107,0.866745,-6.470112,9.056748,61.765752,-0.712442,2.226793,244.213543,0.979687,-0.127318,-0.144498,0.055866
0.675425,-0.053770,-0.022856,0.453543,4.674452,7.301421,0.852400,-7.355767,9.717905,63.908174,-0.882962,2.458361,245.763726,0.978989,-0.129367,-0.145248,0.061198
0.700095,0.061592,0.151838,0.474416,4.624111,6.778956,0.840124,-8.242218,10.382064,66.046706,-1.075378,2.706293,247.366693,0.978747,-0.130199,-0.143708,0.066702
0.724765,0.171593,0.307586,0.495014,4.234187,5.767129,0.830244,-9.112074,11.041507,68.191620,-1.289492,2.970566,249.022472,0.978925,-0.129831,-0.140030,0.072388
0.749434,0.267544,0.432623,0.515404,3.484012,4.298597,0.823271,-9.949767,11.689589,70.356348,-1.524698,3.250980,250.731379,0.979440,-0.128364,-0.134512,0.078269
